Year,iso3c,FDI_Inward_Flow_USD_current_millions,FDI_Inward_Flow_USD_current_pc,FDI_Inward_Flow_perc_total_world,FDI_Inward_Flow_perc_GDP,FDI_Inward_Flow_perc_GFCF,FDI_Outward_Flow_USD_current_millions,FDI_Outward_Flow_USD_current_pc,FDI_Outward_Flow_perc_total_world,FDI_Outward_Flow_perc_GDP,FDI_Outward_Flow_perc_GFCF,FDI_Inward_Stock_USD_current_millions,FDI_Inward_Stock_USD_current_pc,FDI_Inward_Stock_perc_total_world,FDI_Inward_Stock_perc_GDP,FDI_Inward_Stock_perc_GFCF,FDI_Outward_Stock_USD_current_millions,FDI_Outward_Stock_USD_current_pc,FDI_Outward_Stock_perc_total_world,FDI_Outward_Stock_perc_GDP,FDI_Outward_Stock_perc_GFCF
1970,SUR,0,0,-0.038,-0.04,-0.04,,,,,,,,,,,,,,,
1970,SWE,108,108,108.25,108.25,108.25,213,213,212.63,212.63,212.63,,,,,,,,,,
1970,SYR,0,0,-0.001,0,0,,,,,,,,,,,,,,,
1970,THA,43,43,42.803,42.8,42.8,,,,,,,,,,,,,,,
1970,TGO,2,2,2.353,2.35,2.35,,,,,,,,,,,,,,,
1970,TTO,88,88,87.95,87.95,87.95,,,,,,,,,,,,,,,
1970,ARE,33,33,33.036,33.04,33.04,,,,,,,,,,,,,,,
1970,TUN,16,16,16,16,16,,,,,,,,,,,,,,,
1970,TUR,58,58,58,58,58,,,,,,,,,,,,,,,
1970,UGA,4,4,4.2,4.2,4.2,,,,,,,,,,,,,,,
1970,EGY,1,1,0.68,0.68,0.68,,,,,,,,,,,,,,,
1970,TZA,3,3,3.07,3.07,3.07,,,,,,,,,,,,,,,
1970,USA,1260,1260,1260,1260,1260,7590,7590,7590,7590,7590,,,,,,,,,,
1970,BFA,1,1,1.24,1.24,1.24,,,,,,,,,,,,,,,
1970,URY,2,2,2.13,2.13,2.13,,,,,,,,,,,,,,,
1970,VEN,0,0,-0.166,-0.17,-0.17,,,,,,,,,,,,,,,
1970,WSM,0,0,0.187,0.19,0.19,,,,,,,,,,,,,,,
1970,ZMB,4060,4060,4060.285,4060.28,4060.28,,,,,,,,,,,,,,,
1970,GBR,1488,1488,1488,1488,1488,1678,1678,1677.6,1677.6,1677.6,,,,,,,,,,
1970,IDN,145,145,145.38,145.38,145.38,,,,,,,,,,,,,,,
1971,AFG,0,0,0.45,0.45,0.45,,,,,,,,,,,,,,,
1971,DZA,1,1,0.6,0.6,0.6,1,1,1,1,1,,,,,,,,,,
1971,AGO,2,2,1.86,1.86,1.86,,,,,,,,,,,,,,,
1971,ARG,126,126,125.67,125.67,125.67,,,,,,,,,,,,,,,
1971,AUS,1155,1155,1155.158,1155.16,1155.16,104,104,104.498,104.5,104.5,,,,,,,,,,
1971,AUT,143,143,142.73,142.73,142.73,36,36,36.12,36.12,36.12,,,,,,,,,,
1971,BHS,314,314,314.385,314.39,314.39,,,,,,,,,,,,,,,
1971,BRB,66,66,66.355,66.35,66.35,5,5,5.491,5.49,5.49,,,,,,,,,,
1971,BEL,428,428,428,428,428,206,206,206,206,206,,,,,,,,,,
1971,BOL,2,2,1.9,1.9,1.9,,,,,,,,,,,,,,,
1971,BRA,449,449,449,449,449,1,1,1,1,1,,,,,,,,,,
1971,BLZ,42,42,41.602,41.6,41.6,,,,,,,,,,,,,,,
1971,SLB,0,0,-0.001,0,0,,,,,,,,,,,,,,,
1971,BRN,0,0,-0.123,-0.12,-0.12,,,,,,,,,,,,,,,
1971,MMR,0,0,0.05,0.05,0.05,,,,,,,,,,,,,,,
1971,KHM,0,0,-0.002,0,0,,,,,,,,,,,,,,,
1971,CMR,2,2,1.7,1.7,1.7,,,,,,,,,,,,,,,
1971,CAN,2273,2273,2272.75,2272.75,2272.75,458,458,457.521,457.52,457.52,,,,,,,,,,
1971,CAF,1,1,1.27,1.27,1.27,,,,,,,,,,,,,,,
1971,LKA,0,0,0.3,0.3,0.3,,,,,,,,,,,,,,,
1971,TCD,1,1,0.709,0.71,0.71,,,,,,,,,,,,,,,
1971,CHL,0,0,-0.133,-0.13,-0.13,,,,,,,,,,,,,,,
1971,TWN,53,53,53,53,53,1,1,1,1,1,,,,,,,,,,
1971,COL,43,43,43.13,43.13,43.13,3,3,3.01,3.01,3.01,,,,,,,,,,
1971,COG,49,49,48.7,48.7,48.7,,,,,,,,,,,,,,,
1971,COD,6,6,5.74,5.74,5.74,,,,,,,,,,,,,,,
1971,CRI,22,22,22.1,22.1,22.1,,,,,,,,,,,,,,,
1971,CYP,48,48,47.676,47.68,47.68,,,,,,,,,,,,,,,
1971,BEN,6,6,5.582,5.58,5.58,,,,,,,,,,,,,,,
1971,DNK,125,125,125,125,125,52,52,52,52,52,,,,,,,,,,
1971,DOM,65,65,65,65,65,,,,,,,,,,,,,,,
1971,ECU,162,162,162.1,162.1,162.1,,,,,,,,,,,,,,,
1971,SLV,7,7,7,7,7,,,,,,,,,,,,,,,
1971,ETH,6,6,5.7,5.7,5.7,,,,,,,,,,,,,,,
1971,FJI,12,12,12.227,12.23,12.23,,,,,,,,,,,,,,,
1971,FIN,25,25,25,25,25,46,46,46,46,46,,,,,,,,,,
1971,FRA,526,526,525.656,525.66,525.66,347,347,346.886,346.89,346.89,,,,,,,,,,
1971,GAB,26,26,26.091,26.09,26.09,,,,,,,,,,,,,,,
1971,GMB,8,8,7.658,7.66,7.66,,,,,,,,,,,,,,,
1971,DEU,1091,1091,1091.045,1091.04,1091.04,1206,1206,1206.091,1206.09,1206.09,,,,,,,,,,
1971,GHA,31,31,30.6,30.6,30.6,,,,,,,,,,,,,,,
1971,GRC,42,42,42,42,42,,,,,,,,,,,,,,,
1971,GTM,29,29,28.6,28.6,28.6,,,,,,,,,,,,,,,
1971,GUY,0,0,-0.017,-0.02,-0.02,,,,,,,,,,,,,,,
1971,HTI,6,6,5.754,5.75,5.75,,,,,,,,,,,,,,,
1971,HND,7,7,7.4,7.4,7.4,,,,,,,,,,,,,,,
1971,HKG,59,59,59.483,59.48,59.48,,,,,,,,,,,,,,,
1971,ISL,96,96,95.612,95.61,95.61,,,,,,,,,,,,,,,
1971,IND,48,48,47.66,47.66,47.66,,,,,,,,,,,,,,,
1971,IRN,65,65,65.2,65.2,65.2,,,,,,,,,,,,,,,
1971,IRQ,0,0,-0.001,0,0,,,,,,,,,,,,,,,
1971,IRL,25,25,25,25,25,,,,,,,,,,,,,,,
1971,ISR,57,57,57,57,57,4,4,4,4,4,,,,,,,,,,
1971,ITA,550,550,550.02,550.02,550.02,406,406,406.22,406.22,406.22,,,,,,,,,,
1971,CIV,16,16,15.7,15.7,15.7,,,,,,,,,,,,,,,
1971,JAM,175,175,175.2,175.2,175.2,0,0,-0.007,-0.01,-0.01,,,,,,,,,,
1971,JPN,210,210,210,210,210,360,360,360,360,360,,,,,,,,,,
1971,KEN,7,7,7.4,7.4,7.4,,,,,,,,,,,,,,,
1971,KOR,42,42,42,42,42,3,3,3,3,3,,,,,,,,,,
1971,KWT,0,0,0.012,0.01,0.01,,,,,,,,,,,,,,,
1971,LBN,0,0,-0.001,0,0,,,,,,,,,,,,,,,
1971,LBR,0,0,-0.238,-0.24,-0.24,,,,,,,,,,,,,,,
1971,LBY,71,71,70.78,70.78,70.78,,,,,,,,,,,,,,,
1971,MAC,0,0,0.08,0.08,0.08,,,,,,,,,,,,,,,
1971,MDG,1,1,1.08,1.08,1.08,,,,,,,,,,,,,,,
1971,MWI,10,10,9.6,9.6,9.6,,,,,,,,,,,,,,,
1971,MYS,100,100,100,100,100,,,,,,,,,,,,,,,
1971,MLI,0,0,-0.004,0,0,,,,,,,,,,,,,,,
1971,MLT,36,36,36.054,36.05,36.05,,,,,,,,,,,,,,,
1971,MRT,5,5,5.316,5.32,5.32,,,,,,,,,,,,,,,
1971,MUS,4,4,3.865,3.87,3.87,,,,,,,,,,,,,,,
1971,MEX,307,307,307,307,307,,,,,,,,,,,,,,,
1971,MAR,23,23,23.1,23.1,23.1,,,,,,,,,,,,,,,
1971,MOZ,0,0,0.03,0.03,0.03,,,,,,,,,,,,,,,
1971,OMN,0,0,-0.002,0,0,,,,,,,,,,,,,,,
1971,NLD,753,753,752.9,752.9,752.9,1319,1319,1319.12,1319.12,1319.12,,,,,,,,,,
