year,Tariff_RES,iso3c
1974,,CHE
1975,,CHE
1976,,CHE
1977,,CHE
1978,,CHE
1979,,CHE
1980,,CHE
1981,,CHE
1982,,CHE
1983,,CHE
1984,,CHE
1985,,CHE
1986,,CHE
1987,,CHE
1988,,CHE
1989,95.5999984741211,CHE
1990,95.6600036621094,CHE
1991,95.7200012207031,CHE
1992,95.7799987792969,CHE
1993,95.8399963378906,CHE
1994,95.9000015258789,CHE
1995,,CHE
1996,,CHE
1997,,CHE
1998,,CHE
1999,,CHE
2000,,CHE
2001,,CHE
2002,,CHE
2003,,CHE
2004,,CHE
2005,,CHE
2006,,CHE
1970,,CAN
1971,,CAN
1972,,CAN
1973,,CAN
1974,,CAN
1975,,CAN
1976,,CAN
1977,,CAN
1978,,CAN
1979,,CAN
1980,,CAN
1981,,CAN
1982,,CAN
1983,,CAN
1984,,CAN
1985,,CAN
1986,,CAN
1987,,CAN
1988,90.9000015258789,CAN
1989,90.9000015258789,CAN
1990,91.1999969482422,CAN
1991,91.25,CAN
1992,91.3000030517578,CAN
1993,91.3000030517578,CAN
1994,91.4000015258789,CAN
1995,90.9000015258789,CAN
1996,93.5999984741211,CAN
1997,94.1999969482422,CAN
1998,95.1999969482422,CAN
1999,95.4000015258789,CAN
2000,95.6999969482422,CAN
2001,95.8000030517578,CAN
2002,95.8000030517578,CAN
2003,96.1600036621094,CAN
2004,96.1699981689453,CAN
2005,96.0599975585938,CAN
2006,,CAN
1970,,JPN
1971,,JPN
1972,,JPN
1973,,JPN
1974,,JPN
1975,,JPN
1976,,JPN
1977,,JPN
1978,,JPN
1979,,JPN
1980,96.6041030883789,JPN
1981,96.6041030883789,JPN
1982,96.6041030883789,JPN
1983,96.4828186035156,JPN
1984,96.6041030883789,JPN
1985,96.7253875732422,JPN
1986,95.755126953125,JPN
1987,95.1487197875977,JPN
1988,95.2699966430664,JPN
1989,95.745002746582,JPN
1990,96.245002746582,JPN
1991,95.9649963378906,JPN
1992,95.879997253418,JPN
1993,95.7350006103516,JPN
1994,95.7850036621094,JPN
1995,96.0550003051758,JPN
1996,96.4300003051758,JPN
1997,96.7399978637695,JPN
1998,96.754997253418,JPN
1999,96.8949966430664,JPN
2000,97.254997253418,JPN
2001,97.3278732299805,JPN
2002,97.3602676391602,JPN
2003,96.3723907470703,JPN
2004,97.4655303955078,JPN
2005,94.8986740112305,JPN
2006,,JPN
1970,,FIN
1971,,FIN
1972,,FIN
1973,,FIN
1974,,FIN
1975,,FIN
1976,,FIN
1977,,FIN
1978,,FIN
1979,,FIN
1980,95.5685272216797,FIN
1981,96.2682342529297,FIN
1982,96.0350036621094,FIN
1983,96.5014724731445,FIN
1984,96.5014724731445,FIN
1985,97.6676483154297,FIN
1986,97.2011795043945,FIN
1987,96.9679412841797,FIN
1988,96.0350036621094,FIN
1989,96.120002746582,FIN
1990,95.1549987792969,FIN
1991,95.75,FIN
1992,95.754997253418,FIN
1993,95.8949966430664,FIN
1994,95.8499984741211,FIN
1995,96.3349990844727,FIN
1996,96.9049987792969,FIN
1997,96.9049987792969,FIN
1998,97.2316665649414,FIN
1999,97.4309844970703,FIN
2000,97.5638656616211,FIN
2001,97.5251083374024,FIN
2002,97.4475936889649,FIN
2003,97.5638656616211,FIN
2004,96.4011611938477,FIN
2005,97.6856689453125,FIN
2006,,FIN
1970,,GRC
1971,,GRC
1972,,GRC
1973,,GRC
1974,,GRC
1975,,GRC
1976,,GRC
1977,,GRC
1978,,GRC
1979,,GRC
1980,86.9248046875,GRC
1981,89.641731262207,GRC
1982,86.585189819336,GRC
1983,87.9436492919922,GRC
1984,89.8115386962891,GRC
1985,92.3586502075195,GRC
1986,91.6794204711914,GRC
1987,96.0944213867188,GRC
1988,95.5849990844727,GRC
1989,95.7200012207031,GRC
1990,95.1549987792969,GRC
1991,95.6999969482422,GRC
1992,95.6549987792969,GRC
1993,95.745002746582,GRC
