Reporter Name;Partner Name;Trade Flow;Product Group;Indicator;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
Chad; World;Import;  All Products;AHS Weighted Average (%);;;;;;;;14,5800679;;;;;;;;;;;;;;;;;;;;;;;
Chile; World;Import;  All Products;AHS Weighted Average (%);;;;;10,95096278;10,94453083;10,93425267;10,62613198;10,96824569;10,96824569;10,94337815;9,958257217;9;8;6,958131941;5,772906148;3,95183417;3,988538386;2,356322301;2,948608615;2,268618229;1,918938919;2,07741527;1,976155519;1,784722477;5,893790582;;0,638193487;5,885998836;0,489163313;0,485304769
China; World;Import;  All Products;AHS Weighted Average (%);;;;;32,17476594;30,2929558;27,92503485;;19,76445349;15,81593417;15,50496197;14,46489971;14,6721566;14,1074925;7,714878023;6,4820125;5,963647704;4,86656557;4,250932992;5,06589919;4,472624504;3,939502301;4,650011548;5,989479435;;;4,735425019;4,521898516;3,544459174;3,833481265;3,389163261
Colombia; World;Import;  All Products;AHS Weighted Average (%);;;;6,452630401;10,55276333;;11,63532915;11,90775933;11,18868693;11,31473121;11,1827207;10,68059724;10,96488712;10,82749375;11,2838653;11,05844751;9,769715197;9,622943209;8,748596592;8,819873707;8,718718503;8,230327276;9,016716107;5,512287003;4,434544005;4,507823094;4,212015511;6,538842386;6,975724124;4,397198381;3,284755146
Comoros; World;Import;  All Products;AHS Weighted Average (%);;;;;;;;;;;;;;;;;;;;;4,584896153;;6,060330077;6,060330087;6,190975728;6,481745233;;;;;
Congo, Rep.; World;Import;  All Products;AHS Weighted Average (%);;;;;;;16,34820244;;;;;;;;;;;;;15,43027237;15,40020285;15,40020285;15,40020285;15,40020285;;15,85016133;15,77711135;;;;
Cook Islands; World;Import;  All Products;AHS Weighted Average (%);;;;;;;;;;;;;;;;;;;;;;;13,95459849;;;;;;;;
Costa Rica; World;Import;  All Products;AHS Weighted Average (%);;;;;;;;8,557878337;9,036618153;7,525662015;6,315460535;4,06620733;3,697024156;4,439896386;4,225615448;3,440130923;4,040410993;4,142094503;3,320450405;3,759431006;3,31243359;2,175158014;2,072284193;2,125272004;1,763583884;1,796049821;1,731811948;;1,781141956;;1,797166903
Cote d'Ivoire; World;Import;  All Products;AHS Weighted Average (%);;;;;;;;;4,100497021;;;;;7,222995186;9,687751132;9,606871437;8,544287994;7,606455979;7,294156663;6,561754066;6,561753791;7,477710243;7,138904915;6,950724017;6,592001767;6,591982913;6,325494832;7,998760144;8,157703609;10,28116011;10,17406451
Croatia; World;Import;  All Products;AHS Weighted Average (%);;;;;;;;;;;;;;4,505068837;4,762322968;2,549711445;1,267375327;1,161769754;1,105387426;1,127897052;1,123156435;1,310590218;1,340147737;1,338429116;1,440352452;1,383712399;;;;;
Cuba; World;Import;  All Products;AHS Weighted Average (%);;;;;;;;;;;;8,781040917;8,454500514;9,152836509;8,792198373;9,006731167;7,781490049;7,259703674;9,24613966;;;;;;;;;;;;
Cyprus; World;Import;  All Products;AHS Weighted Average (%);;;;;;;;;10,67237543;9,752606443;10,95436953;8,925157244;5,242446659;6,784199311;8,83108301;;;;;;;;;;;;;;;;
Czech Republic; World;Import;  All Products;AHS Weighted Average (%);;;;;;;;;5,82558979;5,448268621;5,168328969;2,794976806;4,315876663;4,208388123;4,325660869;4,347833646;;;;;;;;;;;;;;;
Djibouti; World;Import;  All Products;AHS Weighted Average (%);;;;;;;;;;;;;;;;;;;;;;17,26710375;;;;;;;;;
Dominica; World;Import;  All Products;AHS Weighted Average (%);;;;;;;;;18,61157372;15,9768373;;15,95893467;13,81980743;13,50719846;14,81696839;14,1980914;;;7,775944273;7,852221774;;;11,10850282;;8,152849561;;;;;;
Dominican Republic; World;Import;  All Products;AHS Weighted Average (%);;;;;;;;;;;;;;8,105973691;9,204069115;8,910773219;8,924482007;9,178937027;8,332258131;4,45538417;5,713328227;;4,32984135;6,291108795;6,197073888;6,366286501;;6,038674648;4,595200269;4,20448793;
East Timor; World;Import;  All Products;AHS Weighted Average (%);;;;;;;;;;;;;;;;;;;;;;;;;;2,5;;;;;
Ecuador; World;Import;  All Products;AHS Weighted Average (%);;;;;;8,145588317;11,47478278;11,04754339;10,94859039;10,39440983;10,7035286;11,11177345;9,577716727;11,16489989;10,66643909;9,896748074;8,948531353;8,692584638;6,156176585;5,903297458;5,142059981;4,496898964;6,109319659;4,199621083;4,342143059;;5,08758697;6,379375352;6,810277579;7,034389412;7,354558096
Egypt, Arab Rep.; World;Import;  All Products;AHS Weighted Average (%);;;;;;;;17,05230943;;;14,16643322;16,68444207;16,81926652;16,71639037;19,8923487;15,04287985;10,63449769;8,763490117;10,04719322;8,919613445;8,024207961;8,261510119;9,712455119;7,71084942;7,471964273;8,546159313;7,427069321;7,082742091;6,631834563;7,414817327;8,186852968
El Salvador; World;Import;  All Products;AHS Weighted Average (%);;;;;;;;9,145073206;7,724722271;7,373027792;6,337529841;6,381137838;6,840420251;6,894040896;4,345707313;6,988300189;4,20014648;7,483698214;3,933334624;4,823445579;3,015133905;2,426163947;4,79037791;4,796446668;2,276877314;2,121576954;1,748926283;1,787900323;;2,068807882;1,935750642
Estonia; World;Import;  All Products;AHS Weighted Average (%);;;;;;;;0,392044904;0,037532933;0,031233663;0;0;0,977247139;1,021289096;0,912676791;0,893047893;;;;;;;;;;;;;;;
Ethiopia(excludes Eritrea); World;Import;  All Products;AHS Weighted Average (%);;;;;;;;18,16232271;;;;;;12,10691026;13,4785377;;;;12,02731276;;10,0524908;10,35534972;10,24191144;10,48108921;9,96204924;;;12,14103856;;;
European Union; World;Import;  All Products;AHS Weighted Average (%);;;;;;;;;;;;;2,272275589;3,274882964;2,224487425;2,311375214;2,103447671;2,263507022;2,153439993;2,05814214;1,557850442;1,700752868;1,894584899;1,428337299;1,310300723;1,383278802;1,840385576;1,892219619;1,962966163;1,785851227;1,691626153
Fiji; World;Import;  All Products;AHS Weighted Average (%);;;;;;;;;;;;;;;;9,50715387;10,44569231;;8,919130554;9,070645407;9,97397333;12,1474348;11,27824114;19,88481673;11,74768215;12,0230262;;11,11876702;;16,04823766;16,33561379
Finland; World;Import;  All Products;AHS Weighted Average (%);6,265109011;;6,373151472;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fm Sudan; World;Import;  All Products;AHS Weighted Average (%);;;;;;;;;3,661573121;;;;;;17,02137875;;;;10,18537746;;8,217848438;15,01840163;12,89733776;11,94943752;;;;;;;
French Polynesia; World;Import;  All Products;AHS Weighted Average (%);;;;;;;;;;;;;;;;;;;;;3,931173054;4,36061488;;4,208964063;3,894884323;3,991478451;3,989482557;5,083129378;;;
Gabon; World;Import;  All Products;AHS Weighted Average (%);;;;;;;;;;;15,42651351;;14,58886612;16,14739639;14,72161727;16,77951918;16,77951918;16,29140193;;14,24849456;14,45348408;14,7469541;;;;;;;;;
Gambia, The; World;Import;  All Products;AHS Weighted Average (%);;;;;;;;;;;;;;;;11,08571685;;;;14,72279012;14,77346824;13,45645679;12,02218046;12,49590474;12,49590474;12,65682641;;;;;18,07571002
Georgia; World;Import;  All Products;AHS Weighted Average (%);;;;;;;;;;;;10,1235039;;9,67324696;10,6961901;9,443874694;9,427651816;8,213583174;4,320561655;0,545210225;0,570953841;0,499470902;0,482458666;0,809485085;0,704069899;0,656325768;;0,303791383;0,666979025;;
Ghana; World;Import;  All Products;AHS Weighted Average (%);;;;;;;;;;;;;16,19623585;9,051703696;9,051703696;9,051703696;;;;8,961702361;8,576791913;9,920709401;10,05715516;;;9,960451085;;;10,78674119;10,60602134;10,34018581
Grenada; World;Import;  All Products;AHS Weighted Average (%);;;;;;;;;18,57500949;;;16,19752621;11,31271314;15,81443036;12,0446831;11,43143081;;;8,745104299;9,500306012;9,361126014;;;;;;;;;;
Guatemala; World;Import;  All Products;AHS Weighted Average (%);;;;;;;;8,65984256;;6,802583565;6,983864112;5,936966144;;6,44398282;6,107965251;6,180257255;4,900917131;5,823894611;5,38546972;4,534978486;2,735465605;2,839040418;2,345009782;2,212431138;2,463411354;1,75318359;1,480227831;1,390265018;;;
Guinea; World;Import;  All Products;AHS Weighted Average (%);;;;;;;;;;;5,965944589;;;;;;6,112540345;12,52957546;;;11,91463785;;;;;;;;;;
Guinea-Bissau; World;Import;  All Products;AHS Weighted Average (%);;;;;;;;;;;;;;;;13,28370535;13,93506688;11,62233253;;;;;;;;;;;;;
Guyana; World;Import;  All Products;AHS Weighted Average (%);;;;;;;;;;;;15,19960874;15,53769415;11,60969891;11,84111193;11,49598725;;;6,212470153;11,07515135;6,310337504;11,57882785;6,600739474;6,835422236;7,129184306;8,01281717;;6,730739265;6,576453569;6,60761261;3,737269832
Honduras; World;Import;  All Products;AHS Weighted Average (%);;;;;;;;8,965583465;7,796684988;9,755385557;8,053836448;7,696873936;8,351639685;8,762620671;7,181067828;7,183469707;4,940337946;6,009326405;5,920116026;4,47307891;;6,706093894;6,646756891;6,346506246;6,309916569;;;2,786806167;;;
Hong Kong, China; World;Import;  All Products;AHS Weighted Average (%);;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Hungary; World;Import;  All Products;AHS Weighted Average (%);;;;;;8,95957344;;;8,615795209;4,479656041;;;;;7,908570871;;;;;;;;;;;;;;;;
Iceland; World;Import;  All Products;AHS Weighted Average (%);;;;;;3,407790365;;;3,644789139;;4,505635138;3,650450044;4,724939431;3,680104897;;4,310847138;4,524166184;4,239762029;1,831312478;1,896032677;1,846564649;1,654636431;1,498925055;1,57816756;1,470136926;1,661175432;1,59820752;1,419901071;1,471721758;1,572287729;
India; World;Import;  All Products;AHS Weighted Average (%);;;56,35850442;;27,00896777;;;;23,71781823;20,12804442;;28,51455179;23,35835426;26,51374931;23,08054108;21,45466375;22,96119713;13,90144959;8,988114122;11,99143775;5,982992889;6,841779896;6,099422704;7,334274432;6,317289727;6,342871903;;7,323456906;6,349612648;5,777707786;4,883653477
Indonesia; World;Import;  All Products;AHS Weighted Average (%);;14,54257193;15,08852793;;;12,51262913;;10,84239613;7,732402475;15,06558703;5,481272119;6,050030179;5,163803536;4,142693437;4,381592195;4,046134396;4,024500137;3,970012036;3,531788303;2,903676664;4,383499604;1,711237746;2,562462731;2,62101262;2,538412491;2,372084325;;;2,636009347;2,064431705;1,997510317
Iran, Islamic Rep.; World;Import;  All Products;AHS Weighted Average (%);;;;;;;;;;;;;22,73903843;;;16,73861638;13,83725563;;;;;;;15,22978469;;;;;;;
Israel; World;Import;  All Products;AHS Weighted Average (%);;;;;;;;;;;;5,636710463;3,83342319;3,659538438;3,466225311;3,276418137;1,221872355;1,324984447;2,424679453;1,369435199;1,537745508;3,486215091;;2,941307119;1,350592125;1,419505533;1,458795069;2,832820253;2,814864081;1,850420543;
Jamaica; World;Import;  All Products;AHS Weighted Average (%);;;;;;;;;17,84772497;;;16,66895472;9,852762427;9,52589606;9,826387713;10,0807604;9,433676781;;8,911916437;8,921510509;;;7,451671458;7,335261632;10,38124326;9,593142283;;10,52437807;10,83883081;;
Japan; World;Import;  All Products;AHS Weighted Average (%);4,122500197;4,065322926;3,614990068;4,044570782;4,240354399;4,357200766;4,301814024;5,221496942;5,58591416;4,328866308;4,169114069;4,420137623;4,494273736;5,749445076;5,515980862;5,226469692;4,000156375;3,580541106;2,819598789;2,742933664;2,493940706;2,906592969;2,196752825;2,366922755;2,265718393;1,177900132;2,294250399;2,302434084;2,550321646;2,507154332;2,447451863
Jordan; World;Import;  All Products;AHS Weighted Average (%);;;;;;;;;;;;;18,91989072;12,31540171;12,65822562;11,43563021;11,22783496;7,50225476;5,625169657;5,620608687;5,092046092;5,132622598;8,456097312;8,061246076;8,104064474;8,082547447;4,003572257;3,980789637;4,322742046;4,406479752;
Kazakhstan; World;Import;  All Products;AHS Weighted Average (%);;;;;;;;;;;;;;;;;1,910512365;;;;2,223521655;;4,401736646;3,201558089;3,679444065;3,753088009;3,459371292;4,849778284;2,552689857;2,393513878;2,372496504
Kenya; World;Import;  All Products;AHS Weighted Average (%);;;;;;;;;;;;12,86096728;16,5177123;14,99864322;12,23246146;;10,44367659;6,576751528;6,318039129;6,790070414;7,345509629;9,516173411;7,322024575;;;9,642044315;;;;;10,06812103
Korea, Rep.; World;Import;  All Products;AHS Weighted Average (%);13,94781045;10,61177974;9,535881191;;8,531781977;;;6,842877377;15,02109357;13,45231832;13,61346743;5,902037977;9,550530094;10,4054419;9,98483875;9,703968218;9,252121294;7,949889124;7,426007694;7,133090147;8,26040584;7,797950071;7,186103726;7,316890577;7,58561281;7,851416189;6,101880468;5,717253982;8,668075441;5,046808654;4,82934759
