Reporter Name;Partner Name;Trade Flow;Product Group;Indicator;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
Chile; World;Import;  All Products;MFN Weighted Average (%);;;;;10,95096278;10,94453083;10,93425267;10,93097604;10,96824569;10,96824569;10,94337815;9,958257217;9;8;6,958131941;5,772906148;5,989391208;5,947412623;5,885318441;5,91686959;5,908368025;5,935837109;5,937053622;5,921726279;5,827710037;5,893790582;;5,896992156;5,885998836;5,969025639;5,980264322
China; World;Import;  All Products;MFN Weighted Average (%);;;;;32,17476594;30,2929558;27,92503485;;19,76445349;15,81593417;15,50496197;14,46489971;14,6721566;14,1074925;7,714878023;6,4820125;5,963647704;4,901725354;4,403062959;5,476604112;4,865791274;3,974246056;5,297804398;6,966882847;;;5,601851842;5,583529887;4,293242089;4,885521976;4,266240214
Colombia; World;Import;  All Products;MFN Weighted Average (%);;;;6,452630401;10,55276333;;11,63532915;12,21481532;11,18868693;11,31473121;11,1827207;10,69036778;10,97960503;10,82749375;11,2838653;11,05844751;11,39329354;11,41884963;12,01410574;12,26611479;11,62166168;11,12638888;11,82197934;8,986040667;7,648474701;7,175486422;6,996989874;6,538842386;6,975724124;9,828008255;7,902290593
Comoros; World;Import;  All Products;MFN Weighted Average (%);;;;;;;;;;;;;;;;;;;;;4,926956729;;6,393166246;6,393166256;6,503831372;6,723445629;;;;;
Congo, Rep.; World;Import;  All Products;MFN Weighted Average (%);;;;;;;16,34820244;;;;;;;;;;;;;15,7866032;15,75607837;15,75607837;15,75607837;15,75607837;;16,21434025;16,13835062;;;;
Cook Islands; World;Import;  All Products;MFN Weighted Average (%);;;;;;;;;;;;;;;;;;;;;;;13,95459849;;;;;;;;
Costa Rica; World;Import;  All Products;MFN Weighted Average (%);;;;;;;;8,811804721;9,036618153;9,058308919;7,360169775;5,250323618;4,59341524;4,439896386;4,225615448;4,465227398;4,578689862;4,142094503;4,078064857;4,206683928;4,386474306;3,760507763;3,860214084;4,093190325;4,168639607;4,103393594;4,403459266;;5,250688236;;5,471785446
Cote d'Ivoire; World;Import;  All Products;MFN Weighted Average (%);;;;;;;;;4,100497021;;;;;7,222995186;9,687751132;9,606871437;8,544287994;7,606455979;7,375581647;6,649672804;6,649672529;7,56633708;7,228229725;7,070360268;6,737368177;6,737349324;6,440607447;8,367870829;8,738298153;10,28116011;10,33778912
Croatia; World;Import;  All Products;MFN Weighted Average (%);;;;;;;;;;;;;;10,05334558;4,762322968;4,500655;4,248462537;3,948773856;4,085016145;4,059265201;4,034678145;4,265734204;4,172867029;4,365940539;4,381526189;4,370088999;;;;;
Cuba; World;Import;  All Products;MFN Weighted Average (%);;;;;;;;;;;;8,781040917;8,454500514;9,152836509;8,792198373;9,006731167;8,530572946;8,215999163;10,09349797;;;;;;;;;;;;
Cyprus; World;Import;  All Products;MFN Weighted Average (%);;;;;;;;;15,91047676;14,65837615;15,15815664;13,5291674;8,841960352;10,12262361;8,83108301;;;;;;;;;;;;;;;;
Czech Republic; World;Import;  All Products;MFN Weighted Average (%);;;;;;;;;5,82558979;5,448268621;5,168328969;5,749853509;4,315876663;4,208388123;4,325660869;4,347833646;;;;;;;;;;;;;;;
Djibouti; World;Import;  All Products;MFN Weighted Average (%);;;;;;;;;;;;;;;;;;;;;;17,26710375;;;;;;;;;
Dominica; World;Import;  All Products;MFN Weighted Average (%);;;;;;;;;18,61157372;15,9768373;;15,95893467;13,81980743;13,50719846;14,81696839;14,1980914;;;12,94103313;13,01233008;;;11,10850282;;12,21483489;;;;;;
Dominican Republic; World;Import;  All Products;MFN Weighted Average (%);;;;;;;;;;;;;;8,105973691;9,204069115;8,910773219;8,924482007;9,523646811;8,945350827;8,126297398;8,938957987;;6,584530646;6,291108795;6,197073888;6,366286501;;7,711439976;7,711122417;8,328689022;
East Timor; World;Import;  All Products;MFN Weighted Average (%);;;;;;;;;;;;;;;;;;;;;;;;;;2,5;;;;;
Ecuador; World;Import;  All Products;MFN Weighted Average (%);;;;;;8,145588317;11,47478278;11,04754339;10,94859039;10,39440983;10,7035286;11,11177345;9,577716727;11,16489989;10,66643909;9,896748074;9,913823256;9,531623083;8,938207369;8,871994634;7,801086304;6,841385589;6,830724775;6,208224365;6,379757703;;7,029463597;8,652748478;9,506915884;10,2505243;11,17005062
Egypt, Arab Rep.; World;Import;  All Products;MFN Weighted Average (%);;;;;;;;17,05230943;;;14,16643322;16,68444207;16,81926652;16,71639037;19,8923487;15,04287985;10,63449769;10,00914774;10,04719322;8,919613445;8,847566627;9,001875369;11,76331527;9,691947979;9,818568528;11,09730737;10,61432545;10,50989124;11,47010167;11,91810058;12,96380809
El Salvador; World;Import;  All Products;MFN Weighted Average (%);;;;;;;;9,145073206;7,724722271;7,373027792;6,337529841;6,381137838;6,840420251;6,894040896;7,092035074;7,379422585;7,270276844;7,483698214;9,252351434;6,999222652;7,059887001;7,350102221;6,854079724;6,812529719;6,975949476;6,917281256;6,753332564;7,158303627;;7,734350088;7,734323362
Estonia; World;Import;  All Products;MFN Weighted Average (%);;;;;;;;0,392044904;0,037532933;0,031233663;0;0;0,977247139;1,021289096;0,912676791;0,893047893;;;;;;;;;;;;;;;
Ethiopia(excludes Eritrea); World;Import;  All Products;MFN Weighted Average (%);;;;;;;;18,16232271;;;;;;12,10691026;13,4785377;;;;12,02731276;;10,08553841;10,3754253;10,27022378;10,50589877;9,981410564;;;12,15547395;;;
European Union; World;Import;  All Products;MFN Weighted Average (%);;;;;;;;;;;;;3,445236595;3,796476278;3,473726437;3,63457417;3,481674662;3,306695717;3,174830457;3,06557721;2,825201075;3,097600893;2,84400826;2,829055244;2,637550928;2,839494521;2,812415754;2,963000965;3,163637246;3,138679689;2,99777882
Fiji; World;Import;  All Products;MFN Weighted Average (%);;;;;;;;;;;;;;;;9,50715387;10,44569231;;8,919130554;9,070645407;9,981133444;12,15280415;11,28807277;19,9016767;11,74768215;12,07537071;;11,11876702;;16,17031227;16,45459345
Finland; World;Import;  All Products;MFN Weighted Average (%);6,265109011;;6,373151472;;;;;;;;;;;;;;;;;;;;;;;;;;;;
