"","year","exports_world","ccode","exports","imports_world","imports","Population","rgdpo","GDP_world","GDP","rgdo","country_trade","trade_to_GDP","wld_trade","WTS","D","CTS","WTS_pop","Lietal","Alcala","Frankel"
"329","1998",6.87e+12,"ARB",1.98e+11,6.7e+12,2.39e+11,272235146,NA,3.13395e+13,5.91526e+11,NA,4.37e+11,73.876718859357,1.357e+13,0.0322033898305085,7.50169491525424,628.077325082262,1.18292550773398e-10,-0.577085504361762,NA,-1.29248431e+25
"330","1999",7.12e+12,"ARB",2.4e+11,7.01e+12,2.36e+11,277962869,NA,3.25117e+13,6.4389e+11,NA,4.76e+11,73.9256705337868,1.413e+13,0.0336871903750885,7.89341825902335,657.451908135725,1.21193130925298e-10,-0.613672897695018,NA,-1.5324582e+25
"331","2000",7.94e+12,"ARB",3.28e+11,7.89e+12,2.58e+11,283832016,NA,3.35678e+13,7.35025e+11,NA,5.86e+11,79.7251794156661,1.583e+13,0.0370183196462413,8.77283638660771,779.14113432225,1.30423340424856e-10,-0.627094802487962,NA,-2.15362325e+25
"332","2001",7.66e+12,"ARB",3.04e+11,7.63e+12,2.52e+11,289850357,NA,3.33551e+13,7.23283e+11,NA,5.56e+11,76.8717085843301,1.529e+13,0.0363636363636364,8.6,737.968402409569,1.25456586426203e-10,-0.629904328801908,NA,-2.01072674e+25
"333","2002",8.01e+12,"ARB",3.16e+11,7.91e+12,2.68e+11,296026575,NA,3.4636e+13,7.29052e+11,NA,5.84e+11,80.1040255016103,1.592e+13,0.0366834170854271,8.68442211055276,775.761195712077,1.23919337598076e-10,-0.611350368633509,NA,-2.12883184e+25
"334","2003",9.39e+12,"ARB",3.97e+11,9.24e+12,2.99e+11,302434519,NA,3.88938e+13,8.23114e+11,NA,6.96e+11,84.5569386500533,1.863e+13,0.0373590982286634,8.86280193236715,833.968337912796,1.23527890771832e-10,-0.615582219424829,NA,-2.86443672e+25
"335","2004",1.14e+13,"ARB",5.13e+11,1.12e+13,3.78e+11,309162029,NA,4.38057e+13,9.63862e+11,NA,8.91e+11,92.4406190927747,2.26e+13,0.039424778761062,9.40814159292036,962.135052454816,1.27521412925718e-10,-0.585824558260454,NA,-4.29400521e+25
"336","2005",1.3e+13,"ARB",7.05e+11,1.28e+13,4.61e+11,316264728,NA,4.74297e+13,1.18466e+12,NA,1.166e+12,98.4248645180896,2.58e+13,0.0451937984496124,10.9311627906977,1174.32308121769,1.42898636643453e-10,-0.585881635063081,NA,-6.9065678e+25
"337","2006",1.49e+13,"ARB",8.42e+11,1.46e+13,5.36e+11,323773264,NA,5.13642e+13,1.40411e+12,NA,1.378e+12,98.1404590808413,2.95e+13,0.0467118644067797,11.3319322033898,1210.26148779449,1.44273383878848e-10,-0.590927171468798,NA,-9.6743179e+25
"338","2007",1.74e+13,"ARB",9.69e+11,1.69e+13,6.68e+11,331653797,NA,5.78599e+13,1.63757e+12,NA,1.637e+12,99.9651923276562,3.43e+13,0.0477259475218659,11.5996501457726,1259.52645008334,1.43902913078562e-10,-0.563776176283645,NA,-1.340351045e+26
"339","2008",1.99e+13,"ARB",1.28e+12,1.95e+13,8.59e+11,339825483,NA,6.34622e+13,2.07821e+12,NA,2.139e+12,102.925113438969,3.94e+13,0.0542893401015228,13.332385786802,1475.16243295767,1.59756530388049e-10,-0.553916312785309,NA,-2.222645595e+26
"340","2009",1.59e+13,"ARB",8.65e+11,1.54e+13,7.77e+11,348145094,NA,6.01683e+13,1.7958e+12,NA,1.642e+12,91.4355718899655,3.13e+13,0.0524600638977636,12.8494568690096,1266.3330091833,1.50684484147186e-10,-0.537477474248049,NA,-1.4743518e+26
"341","2010",1.89e+13,"ARB",1.07e+12,1.83e+13,8.43e+11,356508908,NA,6.59548e+13,2.10967e+12,NA,1.913e+12,90.6776889276522,3.72e+13,0.0514247311827957,12.5761290322581,1231.05200522876,1.44245291011903e-10,-0.568424835809564,NA,-2.017899355e+26
"342","2011",2.25e+13,"ARB",1.37e+12,2.18e+13,9.32e+11,364895878,NA,7.32805e+13,2.50155e+12,NA,2.302e+12,92.0229457736204,4.43e+13,0.0519638826185102,12.7184650112867,1262.41356183094,1.42407425656121e-10,-0.593294353432941,NA,-2.87928405e+26
"343","2012",2.28e+13,"ARB",1.52e+12,2.21e+13,1.05e+12,373306993,NA,7.48902e+13,2.74124e+12,NA,2.57e+12,93.7531919861085,4.49e+13,0.0572383073496659,14.1109131403118,1416.69634072906,1.53327712641231e-10,-0.580358212859322,NA,-3.5224934e+26
"344","2013",2.35e+13,"ARB",1.47e+12,2.27e+13,1.11e+12,381702086,NA,7.69896e+13,2.83963e+12,NA,2.58e+12,90.8569074139941,4.62e+13,0.0558441558441558,13.7428571428571,1339.49040644631,1.46302988357669e-10,-0.572220709658374,NA,-3.6631227e+26
"345","2014",2.4e+13,"ARB",1.39e+12,2.32e+13,1.18e+12,390043028,NA,7.90452e+13,2.90662e+12,NA,2.57e+12,88.4188507613654,4.72e+13,0.0544491525423729,13.3745762711864,1270.9835140799,1.39597810071285e-10,-0.557258560107554,NA,-3.7350067e+26
"346","2015",2.13e+13,"ARB",9e+11,2.06e+13,1.07e+12,398304960,NA,7.47603e+13,2.5633e+12,NA,1.97e+12,76.8540553193149,4.19e+13,0.0470167064439141,11.4124105011933,953.944083304757,1.18041980807656e-10,-0.548282429893263,NA,-2.5248505e+26
"347","2016",2.08e+13,"ARB",7.84e+11,2.02e+13,9.71e+11,406452690,NA,7.58478e+13,2.5047e+12,NA,1.755e+12,70.0682716492993,4.1e+13,0.0428048780487805,10.300487804878,791.805649281789,1.05313309769903e-10,-0.579306110543204,NA,-2.19787425e+26
"348","2017",NA,"ARB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"349","1960",NA,"ARE",NA,NA,NA,92634,NA,1.36632e+12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"350","1961",NA,"ARE",NA,NA,NA,101078,NA,1.4214e+12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"351","1962",NA,"ARE",NA,NA,NA,112472,NA,1.52652e+12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"352","1963",NA,"ARE",NA,NA,NA,125566,NA,1.64327e+12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"353","1964",NA,"ARE",NA,NA,NA,138529,NA,1.80034e+12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"354","1965",NA,"ARE",NA,NA,NA,150362,NA,1.96124e+12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"355","1966",NA,"ARE",NA,NA,NA,160481,NA,2.12789e+12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"356","1967",NA,"ARE",NA,NA,NA,170283,NA,2.2641e+12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"357","1968",NA,"ARE",NA,NA,NA,183194,NA,2.44277e+12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"358","1969",NA,"ARE",NA,NA,NA,203820,NA,2.69039e+12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"359","1970",NA,"ARE",NA,NA,NA,235499,58497.86328,2.9574e+12,NA,58497863280,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"360","1971",NA,"ARE",NA,NA,NA,278808,67192.07031,3.26649e+12,NA,67192070310,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"361","1972",NA,"ARE",NA,NA,NA,332760,64038.96875,3.76726e+12,NA,64038968750,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"362","1973",NA,"ARE",NA,NA,NA,397174,73443.71094,4.59079e+12,NA,73443710940,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"363","1974",NA,"ARE",NA,NA,NA,471364,75434.90625,5.29546e+12,NA,75434906250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"364","1975",NA,"ARE",NA,NA,NA,554324,94013.75781,5.89667e+12,14720672507,94013757810,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"365","1976",NA,"ARE",NA,NA,NA,646943,111823.3125,6.41597e+12,19213022691,111823312500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"366","1977",1.37e+12,"ARE",NA,1.37e+12,NA,748117,139958.0469,7.25697e+12,24871775165,139958046900,NA,NA,2.74e+12,NA,NA,NA,NA,NA,NA,NA
"367","1978",1.59e+12,"ARE",NA,1.59e+12,NA,852262,134856.3281,8.54188e+12,23775831783,134856328100,NA,NA,3.18e+12,NA,NA,NA,NA,NA,NA,NA
"368","1979",2.02e+12,"ARE",NA,1.99e+12,NA,952040,165075.7031,9.92464e+12,31225463218,165075703100,NA,NA,4.01e+12,NA,NA,NA,NA,NA,NA,NA
"369","1980",2.43e+12,"ARE",NA,2.41e+12,NA,1042384,253769.75,1.11706e+13,43598748449,253769750000,NA,NA,4.84e+12,NA,NA,NA,NA,NA,NA,NA
"370","1981",2.42e+12,"ARE",NA,2.41e+12,NA,1120900,225429.8594,1.14632e+13,49333424135,225429859400,NA,NA,4.83e+12,NA,NA,NA,NA,NA,NA,NA
"371","1982",2.26e+12,"ARE",NA,2.27e+12,NA,1189545,202150.8438,1.13626e+13,46622718605,202150843800,NA,NA,4.53e+12,NA,NA,NA,NA,NA,NA,NA
"372","1983",2.19e+12,"ARE",NA,2.22e+12,NA,1253060,189480.2344,1.16229e+13,42803323345,189480234400,NA,NA,4.41e+12,NA,NA,NA,NA,NA,NA,NA
"373","1984",2.29e+12,"ARE",NA,2.34e+12,NA,1318478,194366.4531,1.20647e+13,41807954236,194366453100,NA,NA,4.63e+12,NA,NA,NA,NA,NA,NA,NA
"374","1985",2.31e+12,"ARE",NA,2.36e+12,NA,1391052,178614.0156,1.26888e+13,40603650232,178614015600,NA,NA,4.67e+12,NA,NA,NA,NA,NA,NA,NA
"375","1986",2.54e+12,"ARE",NA,2.61e+12,NA,1472218,143554.5781,1.50221e+13,33943612095,143554578100,NA,NA,5.15e+12,NA,NA,NA,NA,NA,NA,NA
"376","1987",3.01e+12,"ARE",NA,3.06e+12,NA,1560718,129827.2422,1.70911e+13,36384908744,129827242200,NA,NA,6.07e+12,NA,NA,NA,NA,NA,NA,NA
"377","1988",3.43e+12,"ARE",NA,3.46e+12,NA,1655849,144005.3594,1.91405e+13,36275674203,144005359400,NA,NA,6.89e+12,NA,NA,NA,NA,NA,NA,NA
"378","1989",3.71e+12,"ARE",NA,3.73e+12,NA,1756043,170170.6406,2.00923e+13,41464995914,170170640600,NA,NA,7.44e+12,NA,NA,NA,NA,NA,NA,NA
"379","1990",4.33e+12,"ARE",NA,4.3e+12,NA,1860174,203520.2656,2.25945e+13,50701443748,203520265600,NA,NA,8.63e+12,NA,NA,NA,NA,NA,NA,NA
"380","1991",4.43e+12,"ARE",NA,4.46e+12,NA,1970026,189672.3594,2.39274e+13,51552165622,189672359400,NA,NA,8.89e+12,NA,NA,NA,NA,NA,NA,NA
"381","1992",4.77e+12,"ARE",NA,4.8e+12,NA,2086639,198636.8125,2.54099e+13,54239171888,198636812500,NA,NA,9.57e+12,NA,NA,NA,NA,NA,NA,NA
"382","1993",4.72e+12,"ARE",NA,4.72e+12,NA,2207405,161611.0313,2.58598e+13,55625170253,161611031300,NA,NA,9.44e+12,NA,NA,NA,NA,NA,NA,NA
"383","1994",5.3e+12,"ARE",NA,5.24e+12,NA,2328686,174158.8438,2.77684e+13,59305093980,174158843800,NA,NA,1.054e+13,NA,NA,NA,NA,NA,NA,NA
"384","1995",6.34e+12,"ARE",NA,6.22e+12,NA,2448820,195975.9688,3.08735e+13,65743666576,195975968800,NA,NA,1.256e+13,NA,NA,NA,NA,NA,NA,NA
"385","1996",6.75e+12,"ARE",NA,6.56e+12,NA,2571020,209374.625,3.15535e+13,73571233996,209374625000,NA,NA,1.331e+13,NA,NA,NA,NA,NA,NA,NA
"386","1997",6.94e+12,"ARE",NA,6.72e+12,NA,2700010,223294.3438,3.14364e+13,78839008445,223294343800,NA,NA,1.366e+13,NA,NA,NA,NA,NA,NA,NA
"387","1998",6.87e+12,"ARE",NA,6.7e+12,NA,2838145,209149.4844,3.13395e+13,75674336283,209149484400,NA,NA,1.357e+13,NA,NA,NA,NA,NA,NA,NA
"388","1999",7.12e+12,"ARE",NA,7.01e+12,NA,2988162,230454.1875,3.25117e+13,84445473111,230454187500,NA,NA,1.413e+13,NA,NA,NA,NA,NA,NA,NA
"389","2000",7.94e+12,"ARE",NA,7.89e+12,NA,3154925,292844.3438,3.35678e+13,1.04337e+11,292844343800,NA,NA,1.583e+13,NA,NA,NA,NA,NA,NA,NA
"390","2001",7.66e+12,"ARE",NA,7.63e+12,NA,3326032,283765.0625,3.33551e+13,1.03312e+11,283765062500,NA,NA,1.529e+13,NA,NA,NA,NA,NA,NA,NA
"391","2002",8.01e+12,"ARE",NA,7.91e+12,NA,3507232,283797.5938,3.4636e+13,1.09816e+11,283797593800,NA,NA,1.592e+13,NA,NA,NA,NA,NA,NA,NA
"392","2003",9.39e+12,"ARE",NA,9.24e+12,NA,3741932,311928.875,3.88938e+13,1.24346e+11,311928875000,NA,NA,1.863e+13,NA,NA,NA,NA,NA,NA,NA
"393","2004",1.14e+13,"ARE",NA,1.12e+13,NA,4087931,335541.9688,4.38057e+13,1.47824e+11,335541968800,NA,NA,2.26e+13,NA,NA,NA,NA,NA,NA,NA
"394","2005",1.3e+13,"ARE",NA,1.28e+13,NA,4579562,397142.625,4.74297e+13,1.80617e+11,397142625000,NA,NA,2.58e+13,NA,NA,NA,NA,NA,NA,NA
"395","2006",1.49e+13,"ARE",NA,1.46e+13,NA,5242032,468657.2813,5.13642e+13,2.22117e+11,468657281300,NA,NA,2.95e+13,NA,NA,NA,NA,NA,NA,NA
"396","2007",1.74e+13,"ARE",NA,1.69e+13,NA,6044067,514199.6875,5.78599e+13,2.57916e+11,514199687500,NA,NA,3.43e+13,NA,NA,NA,NA,NA,NA,NA
"397","2008",1.99e+13,"ARE",NA,1.95e+13,NA,6894278,572370.6875,6.34622e+13,3.15475e+11,572370687500,NA,NA,3.94e+13,NA,NA,NA,NA,NA,NA,NA
"398","2009",1.59e+13,"ARE",NA,1.54e+13,NA,7666393,471371.3125,6.01683e+13,2.53547e+11,471371312500,NA,NA,3.13e+13,NA,NA,NA,NA,NA,NA,NA
"399","2010",1.89e+13,"ARE",NA,1.83e+13,NA,8270684,488493.9375,6.59548e+13,2.8988e+11,488493937500,NA,NA,3.72e+13,NA,NA,NA,NA,NA,NA,NA
"400","2011",2.25e+13,"ARE",NA,2.18e+13,NA,8672475,570435.0625,7.32805e+13,3.50908e+11,570435062500,NA,NA,4.43e+13,NA,NA,NA,NA,NA,NA,NA
"401","2012",2.28e+13,"ARE",NA,2.21e+13,NA,8900453,609734.4375,7.48902e+13,3.74818e+11,609734437500,NA,NA,4.49e+13,NA,NA,NA,NA,NA,NA,NA
"402","2013",2.35e+13,"ARE",NA,2.27e+13,NA,9006263,666191.6875,7.69896e+13,3.90427e+11,666191687500,NA,NA,4.62e+13,NA,NA,NA,NA,NA,NA,NA
"403","2014",2.4e+13,"ARE",NA,2.32e+13,NA,9070867,636899.5,7.90452e+13,4.03198e+11,636899500000,NA,NA,4.72e+13,NA,NA,NA,NA,NA,NA,NA
"404","2015",2.13e+13,"ARE",NA,2.06e+13,NA,9154302,NA,7.47603e+13,3.57949e+11,NA,NA,NA,4.19e+13,NA,NA,NA,NA,NA,NA,NA
"405","2016",2.08e+13,"ARE",NA,2.02e+13,NA,9269612,NA,7.58478e+13,3.48743e+11,NA,NA,NA,4.1e+13,NA,NA,NA,NA,NA,NA,NA
"406","2017",NA,"ARE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"407","1960",NA,"ARG",NA,NA,NA,20619075,64673.57813,1.36632e+12,NA,64673578130,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"408","1961",NA,"ARG",NA,NA,NA,20953077,66844.82813,1.4214e+12,NA,66844828130,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"409","1962",NA,"ARG",NA,NA,NA,21287682,67655.26563,1.52652e+12,24450604878,67655265630,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"410","1963",NA,"ARG",NA,NA,NA,21621840,65443.92188,1.64327e+12,18272123664,65443921880,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"411","1964",NA,"ARG",NA,NA,NA,21953929,68879.07813,1.80034e+12,25605249382,68879078130,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"412","1965",NA,"ARG",NA,NA,NA,22283390,77556.66406,1.96124e+12,28344705967,77556664060,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"413","1966",NA,"ARG",NA,NA,NA,22608748,79047.07031,2.12789e+12,28630474728,79047070310,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"414","1967",NA,"ARG",NA,NA,NA,22932203,81800.03125,2.2641e+12,24256667553,81800031250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"415","1968",NA,"ARG",NA,NA,NA,23261278,84209.66406,2.44277e+12,26436857247,84209664060,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"416","1969",NA,"ARG",NA,NA,NA,23605987,92424.0625,2.69039e+12,31256284544,92424062500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"417","1970",NA,"ARG",NA,NA,NA,23973058,95035.72656,2.9574e+12,31584210366,95035726560,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"418","1971",NA,"ARG",NA,NA,NA,24366439,98051.90625,3.26649e+12,33293199095,98051906250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"419","1972",NA,"ARG",NA,NA,NA,24782949,99798.40625,3.76726e+12,34733000536,99798406250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"420","1973",NA,"ARG",NA,NA,NA,25213388,105425.2734,4.59079e+12,52544000117,105425273400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"421","1974",NA,"ARG",NA,NA,NA,25644506,110358.4609,5.29546e+12,72436777342,110358460900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"422","1975",NA,"ARG",NA,NA,NA,26066975,108928.8047,5.89667e+12,52438647922,108928804700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"423","1976",NA,"ARG",4.632e+09,NA,3.507e+09,26477152,108897.0313,6.41597e+12,51169499891,108897031300,8.139e+09,15.9059596387252,NA,NA,NA,NA,NA,-0.923487745036922,74740.3294914248,-2.08234279806425e+22
"424","1977",1.37e+12,"ARG",6.602e+09,1.37e+12,4.766e+09,26878565,116226.1328,7.25697e+12,56781000101,116226132800,1.1368e+10,20.0207815638665,2.74e+12,0.00414890510948905,0.0953109489051094,21.9289812525405,1.54357388852011e-10,-0.908239132160962,97809.3284714365,-3.22743204574084e+22
"425","1978",1.59e+12,"ARG",7.488e+09,1.59e+12,5.032e+09,27277741,114318.5938,8.54188e+12,58082870156,114318593800,1.252e+10,21.5554086193977,3.18e+12,0.00393710691823899,0.0393962264150942,22.4046103778374,1.44334053110886e-10,-0.90656538685546,109518.491995307,-3.6359876717656e+22
"426","1979",2.02e+12,"ARG",9.179e+09,1.99e+12,8.842e+09,27684534,121946.6484,9.92464e+12,69252328953,121946648400,1.8021e+10,26.0222295371907,4.01e+12,0.00449401496259352,0.186419950124688,30.8732922696469,1.62329442229135e-10,-0.865344165751872,147777.739170731,-6.23998110031007e+22
"427","1980",2.43e+12,"ARG",9.897e+09,2.41e+12,1.3182e+10,28105888,123486.75,1.11706e+13,76961923742,123486750000,2.3079e+10,29.987556024935,4.84e+12,0.00476838842975207,0.258854545454545,37.7499712090623,1.69657988737167e-10,-0.821830811870355,186894.545366203,-8.88102119020809e+22
"428","1981",2.42e+12,"ARG",1.0859e+10,2.41e+12,1.1865e+10,28543364,124252.7891,1.14632e+13,78676842366,124252789100,2.2724e+10,28.8827046391736,4.83e+12,0.00470476190476191,0.242057142857143,35.8739696021187,1.64828571178993e-10,-0.842329808465078,182885.23070264,-8.93926282962492e+22
"429","1982",2.26e+12,"ARG",9.197e+09,2.27e+12,6.877e+09,28993987,129667.2813,1.13626e+13,84307486837,129667281300,1.6074e+10,19.0659223789667,4.53e+12,0.00354834437086093,-0.0632370860927153,17.860249004051,1.22382077734288e-10,-0.911009810204386,123963.422683406,-6.77579271708969e+22
"430","1983",2.19e+12,"ARG",9.29e+09,2.22e+12,6.343e+09,29454738,140620.0938,1.16229e+13,1.03979e+11,140620093800,1.5633e+10,15.0347666355706,4.41e+12,0.00354489795918367,-0.0641469387755103,14.0703323806946,1.20350687186003e-10,-0.930051251363753,111171.878623793,-8.127518535e+22
"431","1984",2.29e+12,"ARG",9.611e+09,2.34e+12,6.407e+09,29920904,149928.5938,1.20647e+13,79092001998,149928593800,1.6018e+10,20.252363823595,4.63e+12,0.00345961123110151,-0.0866626349892008,18.4972406098823,1.15625224127637e-10,-0.912437419142383,106837.525744872,-6.33447844001982e+22
"432","1985",2.31e+12,"ARG",1.0047e+10,2.36e+12,5.705e+09,30388783,146209.5625,1.26888e+13,88416668900,146209562500,1.5752e+10,17.8156451673334,4.67e+12,0.00337301927194861,-0.109522912205567,15.864423825786,1.10995536476357e-10,-0.928507880181444,107735.771386362,-6.963696842564e+22
"433","1986",2.54e+12,"ARG",8.449e+09,2.61e+12,6.906e+09,30857244,163147.7031,1.50221e+13,1.10934e+11,163147703100,1.5355e+10,13.8415634521427,5.15e+12,0.00298155339805825,-0.212869902912621,10.8951111839262,9.66240989654893e-11,-0.930362048502654,94117.1693394193,-8.51695785e+22
"434","1987",3.01e+12,"ARG",8.154e+09,3.06e+12,7.909e+09,31326473,173890.6094,1.70911e+13,1.11106e+11,173890609400,1.6063e+10,14.4573650387918,6.07e+12,0.00264629324546952,-0.301378583196046,10.1002248466527,8.44746628664364e-11,-0.922314915160086,92374.1658932849,-8.92347839e+22
"435","1988",3.43e+12,"ARG",1.1149e+10,3.46e+12,7.594e+09,31795517,184885.2344,1.91405e+13,1.26207e+11,184885234400,1.8743e+10,14.8509987560119,6.89e+12,0.00272031930333817,-0.281835703918723,10.6654570677152,8.55566935218626e-11,-0.933235296171387,101376.402830793,-1.1827489005e+23
"436","1989",3.71e+12,"ARG",1.1766e+10,3.73e+12,6.657e+09,32263561,178384.0781,2.00923e+13,76636898036,178384078100,1.8423e+10,24.0393341486053,7.44e+12,0.00247620967741936,-0.34628064516129,15.7149780103784,7.67494225891356e-11,-0.909321594862546,103277.154532101,-7.05940786258614e+22
"437","1990",4.33e+12,"ARG",1.48e+10,4.3e+12,6.846e+09,32729739,199708.2813,2.25945e+13,1.41352e+11,199708281300,2.1646e+10,15.3135434942555,8.63e+12,0.00250822711471611,-0.337828041714948,10.1401990838745,7.66344979016211e-11,-0.945311681710362,108388.094169633,-1.529852696e+23
"438","1991",4.43e+12,"ARG",1.4386e+10,4.46e+12,1.1566e+10,33193918,235515.2656,2.39274e+13,1.8972e+11,235515265600,2.5952e+10,13.6791060510226,8.89e+12,0.00291923509561305,-0.229321934758155,10.5421869856401,8.79448788062032e-11,-0.931107489624806,110192.432468802,-2.46180672e+23
"439","1992",4.77e+12,"ARG",15366200000,4.8e+12,19319500000,33655151,277855.7813,2.54099e+13,2.28789e+11,277855781300,34685700000,15.1605627892949,9.57e+12,0.00362442006269592,-0.0431531034482759,14.5063374549144,1.07692877761741e-10,-0.906553634603234,124833.465180089,-3.96785330865e+23
"440","1993",4.72e+12,"ARG",16286160000,4.72e+12,21975400000,34110917,320473.875,2.58598e+13,2.36742e+11,320473875000,38261560000,16.1617119057877,9.44e+12,0.0040531313559322,0.0700266779661016,17.2934629007952,1.18822116565562e-10,-0.898020916875428,119390.574348689,-4.52905911876e+23
"441","1994",5.3e+12,"ARG",19355700000,5.24e+12,27273600000,34558115,372903,2.77684e+13,2.5744e+11,3.72903e+11,46629300000,18.1126864512119,1.054e+13,0.00442403225806452,0.167944516129032,21.1546128130576,1.28017175070588e-10,-0.884787451500308,125044.046306948,-6.002123496e+23
"442","1995",6.34e+12,"ARG",24956432000,6.22e+12,26035117000,34994814,416118.8125,3.08735e+13,2.58032e+11,416118812500,50991549000,19.7617152136169,1.256e+13,0.00405983670382166,0.0717968898089172,21.1805449032442,1.16012524136338e-10,-0.890743490593396,122540.840424032,-6.578725685784e+23
"443","1996",6.75e+12,"ARG",28424754642,6.56e+12,30212204066,35419682,532989.8125,3.15535e+13,2.7215e+11,532989812500,58636958708,21.5458235193827,1.331e+13,0.00440548149571751,0.163047114869421,25.0588078817038,1.24379476239157e-10,-0.880361907109688,110015.158512997,-7.9790241561911e+23
"444","1997",6.94e+12,"ARG",31003771471,6.72e+12,37511586709,35833969,553420.6875,3.14364e+13,2.92859e+11,553420687500,68515358180,23.395339798333,1.366e+13,0.00501576560614934,0.324162120023426,30.979222746029,1.39972371080338e-10,-0.862596547004392,123803.39175521,-1.00326696406183e+24
"445","1998",6.87e+12,"ARG",31255969563,6.7e+12,38797517537,36241590,554934.1875,3.13395e+13,2.98948e+11,554934187500,70053487100,23.4333352623199,1.357e+13,0.00516237929992631,0.362868135180545,31.9365459300184,1.42443510340642e-10,-0.860680829545176,126237.468654785,-1.04711749307854e+24
"446","1999",7.12e+12,"ARG",27997318725,7.01e+12,32903076781,36648068,523007.4375,3.25117e+13,2.83523e+11,523007437500,60900395506,21.4798783541371,1.413e+13,0.00431000675909413,0.137841784400849,24.4407031151845,1.1760529256533e-10,-0.875228534315546,116442.694958807,-8.63333141752382e+23
"447","2000",7.94e+12,"ARG",31236920315,7.89e+12,33068803787,37057452,520440.7188,3.35678e+13,2.84204e+11,520440718800,64305724102,22.6266076839172,1.583e+13,0.0040622693684144,0.0724391132614024,24.2656590806538,1.09620849496463e-10,-0.875177563441108,123560.132362956,-9.1379720063424e+23
"448","2001",7.66e+12,"ARG",31116753077,7.63e+12,27594942433,37471509,489405.2188,3.33551e+13,2.68697e+11,489405218800,58711695510,21.8505214088732,1.529e+13,0.00383987544211903,0.0137271167194244,22.1504660666331,1.02474534508846e-10,-0.889245241554985,119965.405464941,-7.88782822422523e+23
"449","2002",8.01e+12,"ARG",29054500000,7.91e+12,13337220000,37889370,421078.1875,3.4636e+13,97724004252,421078187500,42391720000,43.3790247590396,1.592e+13,0.00266279648241206,-0.297021728643216,30.4945118382528,7.02781936572728e-11,-0.860700098861465,100674.22454648,-2.0713443127648e+23
"450","2003",9.39e+12,"ARG",34336010000,9.24e+12,18724510000,38309379,456466.5313,3.88938e+13,1.27587e+11,456466531300,53060520000,41.5877166168967,1.863e+13,0.00284812238325282,-0.248095690821256,31.2699833331491,7.43453028370107e-11,-0.849960845006724,116241.863009946,-3.38491628262e+23
"451","2004",1.14e+13,"ARG",39757250000,1.12e+13,27823640000,38728696,499958.9375,4.38057e+13,1.64658e+11,499958937500,67580890000,41.0431864834991,2.26e+13,0.00299030486725664,-0.210559515044248,32.4011530416629,7.72116073119693e-11,-0.827262806811294,135172.881072858,-5.56386709281e+23
"452","2005",1.3e+13,"ARG",46892210000,1.28e+13,34796990000,39145488,546220.4375,4.74297e+13,1.98737e+11,546220437500,81689200000,41.1041728515576,2.58e+13,0.0031662480620155,-0.164110511627907,34.3585460148465,8.08841126725896e-11,-0.820719214314715,149553.539911256,-8.1173332702e+23
"453","2006",1.49e+13,"ARG",54528515093,1.46e+13,41261872520,39558890,593656,5.13642e+13,2.32557e+11,5.93656e+11,95790387613,41.1900685049257,2.95e+13,0.00324713178349153,-0.142757209158237,35.3098892801259,8.20834908029908e-11,-0.8180454700485,161356.724454903,-1.11383625860582e+24
