ccode,period,Year,rgdpo,hc,inv_share,Penn_GDP_PPP,Penn_GDP_PPP_log,pop_log,GDP_pc_growth,pop_growth,KOF_econ,KOF_defacto,KOF_dejure,KOF_trade,KOF_trade_df,KOF_trade_dj,KOF_finance,KOF_finance_df,KOF_finance_dj,inflation,Trade_to_GDP,EXP_to_GDP,IMP_to_GDP,population,Exports_USD_current,Exports_USD_constant,Imports_USD_current,Imports_USD_constant,CTS,Lietal,Alcala,KAOPEN,chinn_ito_normed,LMF_FDI_total_stocks_GDP,LMF_open,LMF_EQ,UNC_FDI_in_stock_GDP,UNC_FDI_out_stock_GDP,UNC_FDI_total_stocks_GDP,FTI_panel,FTI_original,FTI_reduced,Tariff_RES,Tariff_WITS,HF_econ,HF_fin,HF_trade,FTI_original_ipo,FTI_reduced_ipo,Tariff_WITS_ipo,LMF_open_pv,FIN_CUR,CAPITAL,first_year
ADO,"(2000,2005]",2003,,,,,,,,,,65.8025614420573,,,,,,79.3564590454102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2001
ADO,"(2005,2010]",2008,,,,,,,,,,65.8161010742188,,,,,,78.5075302124024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2006
ADO,"(2010,2015]",2013,,,,,,,,,,68.206298828125,,,,,,81.7264114379883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011
ADO,"(2015,2020]",2016.5,,,,,,,,,,68.6623497009277,,,,,,82.0491638183594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014.5
AFG,"(1955,1960]",1960,,,,,,,,,,,,,,,,,,,11.157026581176,4.13223321494422,7.02479336623182,8996973,22222233.3333333,,37777780,,,,,,,,,,,,,,,,,,,,,,,,,,,1960
AFG,"(1960,1965]",1963,,,,,,,,,,,,,,,,,,,22.4858591962832,7.73005343460439,14.7558057616788,9553031.4,60888908.4444444,,116444455.111111,,,,,,,,,,,,,,,,,,,,,,,,,,,1961
AFG,"(1965,1970]",1968,,,,,,,,,29.3227958679199,27.6722850799561,32.1493988037109,20.8735122680664,16.3338851928711,,36.9061965942383,39.010684967041,33.7626533508301,,23.8085200294795,8.82453062241976,14.9839894070597,10655848.6,133777779.111111,,225333339.111111,,,,,0.433834552764893,0.55131196975708,,,,,,,,,,,,,,,,,,,,,1966
AFG,"(1970,1975]",1973,,,,,,,,,29.2204479217529,28.872705078125,29.8159828186035,22.4758056640625,18.7347236633301,,35.2739013671875,39.010684967041,29.6921421051025,,28.6877730216232,13.0661934802885,15.6215795413347,12095546.6,252444440,,299555553.333333,,,,,-0.147494721412658,0.414954030513763,,,,,,,,,,,,,,,,,,,,,1971
AFG,"(1975,1980]",1978,,,,,,,,,24.6871349334717,28.6247165679932,17.9476501464844,22.2167392730713,18.485064125061,28.4689388275147,26.9064128875732,38.7643684387207,9.13163442611694,,26.4289468410323,11.9073486201852,14.5215982208471,13244632.8,346666666.666667,,425185197.037037,,3.66450692981829,-0.769027056036352,,-1.26638275384903,0.152505059540272,,,,11.1,,,,,,,,,,,,,,,,,1976
AFG,"(1980,1985]",1983,,,,,,,,,27.5189674377441,35.5227546691895,13.5091312408447,31.0809371948242,33.0159355163574,27.357398223877,24.1817810058594,38.0295738220215,2.05973072052002,,,,,12546886.2,,,,,4.99551473329447,-0.694877712901679,,-1.77524492740631,0.0331451624631882,,,,11.36,,,,,,,,,,,,,,,,,1981
